config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
aa_group	M0206	6000	1698	80	40	1	40	0.9756	0.5000	23.97	677748
aa_group	M0210	6000	1766	224	11	1	213	0.9167	0.0491	7.35	207708
aa_group	M0212	6000	1564	97	55	1	42	0.9821	0.5670	8.35	427412
aa_group	M0216	6000	2752	1167	1153	1	14	0.9991	0.9880	4.22	166972
aa_group	M0227	6000	1790	40	16	1	24	0.9412	0.4000	5.67	301484
aa_group	M0228	6000	2144	122	20	1	102	0.9524	0.1639	3.07	176760
aa_group	M0231	6000	1813	16	16	1	0	0.9412	1.0000	4.90	171152
aa_group	M0234	6000	1861	19	6	1	13	0.8571	0.3158	6.91	222140
aa_group	M0235	6000	1845	18	2	1	16	0.6667	0.1111	1.79	70332
aa_group	M0237	6000	1142	616	90	1	526	0.9890	0.1461	1.91	86892
aa_group	M0243	6000	1647	14	14	1	0	0.9333	1.0000	9.52	292068
aa_group	M0250	6000	1831	15	15	1	0	0.9375	1.0000	3.52	123708
aa_group	M0253	6000	2081	240	85	1	155	0.9884	0.3542	14.81	505272
aa_group	M0254	6000	1959	19	16	1	3	0.9412	0.8421	29.64	864704
aa_group	M0257	6000	1958	256	218	1	38	0.9954	0.8516	6.22	228384
aa_group	M0260	6000	1804	22	21	1	1	0.9545	0.9545	9.69	358148
aa_group	M0261	6000	1850	23	16	1	7	0.9412	0.6957	3.29	120800
aa_group	M0262	6000	1720	20	20	1	0	0.9524	1.0000	16.88	561112
aa_group	M0263	6000	1651	51	7	1	44	0.8750	0.1373	2.15	130164
aa_group	M0266	6000	2407	47	45	1	2	0.9783	0.9574	4.74	211892
aa_group	M0272	6000	1820	45	27	1	18	0.9643	0.6000	8.84	218988
aa_group	M0278	6000	2164	105	59	1	46	0.9833	0.5619	2.94	120576
aa_group	M0281	6000	1430	3	2	1	1	0.6667	0.6667	8.99	429396
aa_group	M0293	6000	1537	62	44	1	18	0.9778	0.7097	5.18	148708
aa_group	M0294	6000	1639	116	104	1	12	0.9905	0.8966	22.91	428292
aa_group	M0297	6000	1992	18	1	1	17	0.5000	0.0556	2.10	110948
aa_group	M0298	6000	1655	366	1	1	365	0.5000	0.0027	2.93	152708
aa_group	M0301	6000	2154	52	12	1	40	0.9231	0.2308	4.25	144136
aa_group	M0308	6000	1819	174	174	1	0	0.9943	1.0000	27.08	560060
aa_group	M0311	6000	1356	84	84	1	0	0.9882	1.0000	19.53	439992
aa_group	M0313	6000	1835	19	14	1	5	0.9333	0.7368	2.39	72996
aa_group	M0314	6000	1517	48	3	1	45	0.7500	0.0625	16.20	375864
aa_group	M0321	6000	1820	25	5	1	20	0.8333	0.2000	2.56	110524
aa_group	M0334	6000	1782	23	22	1	1	0.9565	0.9565	9.01	186780
aa_group	M0338	6000	2134	28	1	1	27	0.5000	0.0357	2.34	67220
aa_group	M0346	6000	1795	143	14	1	129	0.9333	0.0979	4.67	177380
aa_group	M0348	6000	294	180	72	1	108	0.9863	0.4000	6.14	206088
aa_group	M0351	6000	2062	26	16	1	10	0.9412	0.6154	2.91	82968
aa_group	M0353	6000	1389	14	8	1	6	0.8889	0.5714	2.64	76912
aa_group	M0357	6000	2196	6	5	1	1	0.8333	0.8333	3.74	86844
aa_group	M0358	6000	1814	1	1	1	0	0.5000	1.0000	19.96	522852
aa_group	M0363	6000	1953	66	3	1	63	0.7500	0.0455	2.38	113600
aa_group	M0369	6000	1696	87	18	1	69	0.9474	0.2069	3.73	208272
aa_group	M0371	6000	1862	123	11	1	112	0.9167	0.0894	4.73	162848
aa_group	M0376	6000	1722	42	34	1	8	0.9714	0.8095	2.76	199564
aa_group	M0377	6000	396	215	63	1	152	0.9844	0.2930	17.77	322060
aa_group	M0379	6000	1922	121	30	1	91	0.9677	0.2479	12.70	457408
aa_group	M0380	6000	1829	27	18	1	9	0.9474	0.6667	2.77	105168
aa_group	M0381	6000	2433	76	45	1	31	0.9783	0.5921	1.80	89756
aa_group	M0383	6000	1733	131	71	1	60	0.9861	0.5420	5.48	152144
aa_group	M0384	6000	1777	107	2	1	105	0.6667	0.0187	4.62	238604
aa_group	M0386	6000	2025	5	4	1	1	0.8000	0.8000	13.55	493296
aa_group	M0387	6000	1459	2182	45	1	2137	0.9783	0.0206	1.86	119024
aa_group	M0391	6000	1609	15	8	1	7	0.8889	0.5333	1.74	61480
aa_group	M0398	6000	1713	37	1	1	36	0.5000	0.0270	11.92	450588
aa_group	M0401	6000	1732	396	7	1	389	0.8750	0.0177	9.10	287100
aa_group	M0403	6000	2003	17	14	1	3	0.9333	0.8235	2.66	157264
aa_group	M0410	6000	1857	34	5	1	29	0.8333	0.1471	6.14	229752
aa_group	M0412	6000	1610	61	5	1	56	0.8333	0.0820	6.54	152188
aa_group	M0414	6000	2042	83	59	1	24	0.9833	0.7108	4.79	173604
aa_group	M0416	6000	2020	5	5	1	0	0.8333	1.0000	15.41	633308
aa_group	M0420	6000	1804	18	6	1	12	0.8571	0.3333	5.40	106712
aa_group	M0423	6000	1750	99	5	1	94	0.8333	0.0505	2.77	88244
aa_group	M0425	6000	1713	2202	56	1	2146	0.9825	0.0254	2.96	136132
aa_group	M0426	6000	1928	20	19	1	1	0.9500	0.9500	3.60	174160
aa_group	M0428	6000	1227	11	9	1	2	0.9000	0.8182	7.38	247900
aa_group	M0429	6000	1928	48	23	1	25	0.9583	0.4792	4.63	142308
aa_group	M0431	6000	2045	4	4	1	0	0.8000	1.0000	3.21	152824
aa_group	M0433	6000	1880	214	8	1	206	0.8889	0.0374	2.18	56496
aa_group	M0434	6000	1740	13	1	1	12	0.5000	0.0769	29.38	474396
aa_group	M0435	6000	1830	88	12	1	76	0.9231	0.1364	55.46	1083200
aa_group	M0440	6000	1908	50	40	1	10	0.9756	0.8000	8.08	202080
aa_group	M0444	6000	1750	84	65	1	19	0.9848	0.7738	2.41	112512
