config	query	hits	answer_len	tp	precision	recall	f1	runtime
unfiltered	M0281	6000	3	3	0.0019	1.0000	0.0038	2.25
unfiltered	M0293	6000	62	55	0.0302	0.8871	0.0584	2.03
unfiltered	M0294	6000	116	112	0.0761	0.9655	0.1411	4.56
unfiltered	M0297	3582	18	3	0.0029	0.1667	0.0057	1.04
unfiltered	M0298	6000	366	30	0.0177	0.0820	0.0291	2.50
unfiltered	M0301	6000	52	39	0.0181	0.7500	0.0353	1.86
unfiltered	M0308	6000	174	174	0.1015	1.0000	0.1843	4.27
unfiltered	M0311	6000	84	84	0.0741	1.0000	0.1380	5.47
unfiltered	M0313	6000	19	19	0.0128	1.0000	0.0252	3.10
unfiltered	M0314	6000	48	35	0.0246	0.7292	0.0475	5.14
unfiltered	M0321	6000	25	18	0.0091	0.7200	0.0180	2.34
unfiltered	M0334	6000	23	23	0.0136	1.0000	0.0268	2.66
unfiltered	M0338	6000	28	18	0.0094	0.6429	0.0186	3.05
unfiltered	M0346	6000	143	20	0.0118	0.1399	0.0218	2.41
unfiltered	M0348	6000	180	122	0.4469	0.6778	0.5386	3.68
